Name,Price,Availability,Brand name,Rating,Review count,Star-wise reviews,Delivery date,Sponsored tag,Feature list
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,730",In Stock,Samsung,4.4,"15,581 Ratings & 1,237 Reviews",None,None,No,Intel Core i5 Processor (13th Gen) | 8 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1335U...","₹45,990",In Stock,ASUS,4.4,105 Ratings & 4 Reviews,None,None,No,"Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹45,990",In Stock,Acer,4.3,"1,359 Ratings & 86 Reviews",None,None,No,Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Carry-in Warranty
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹23,590",In Stock,Acer,3.8,"7,961 Ratings & 696 Reviews",None,None,No,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 29.46 cm (11.6 Inch) Display | 1 Year Warranty
Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹55,570",In Stock,Samsung,4.4,"4,754 Ratings & 308 Reviews",None,None,No,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹41,990",In Stock,HP,4.3,38 Ratings & 2 Reviews,None,None,No,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty
Lenovo Yoga 6 AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) 13ABR8 2 in 1 Laptop,"₹59,990",In Stock,Lenovo,4.1,127 Ratings & 7 Reviews,None,None,No,AMD Ryzen 7 Octa Core Processor | 16 GB LPDDR4X RAM | Windows 11 Operating System | 1 TB SSD | 33.78 cm (13.3 Inch) Touchscreen Display | 1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,"₹45,990",In Stock,Lenovo,4.2,662 Ratings & 40 Reviews,None,None,No,Intel Core i5 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Warranty
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹38,990",In Stock,Acer,4.1,"3,310 Ratings & 325 Reviews",None,None,No,AMD Ryzen 5 Hexa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty
DELL Inspiron 15 MSO'24 with Backlit Keyboard and Fingerprint Sensor Intel Core i5 13th Gen 1334U - (1...,"₹61,990",In Stock,DELL,4.2,410 Ratings & 20 Reviews,None,None,No,"Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Operating System | 1 TB SSD | 38.1 cm (15 Inch) Display | My Dell (Dell Power Manager,Dell Support Assist) | 1 Year Onsite Hardware Service"
